TKT_L001, C01, SINGLERIDE, 10000
TKT_L002, C02, DAYPASS, 30000
TKT_L003, C03, SINGLERIDE, 15000
TKT_L004, C04, MONTHLYPASS, 200000
TKT_L005, C05, SINGLERIDE, 10000
TKT_L006, C06, DAYPASS, 30000
TKT_L007, C07, SINGLERIDE, 15000
TKT_L008, C08, SINGLERIDE, 10000
TKT_L009, C09, MONTHLYPASS, 200000
TKT_L010, C10, SINGLERIDE, 10000
TKT_L011, C01, SINGLERIDE, 15000
TKT_L012, C02, DAYPASS, 30000
TKT_L013, C03, SINGLERIDE, 10000
TKT_L014, C04, SINGLERIDE, 15000
TKT_L015, C05, SINGLERIDE, 10000
TKT_L016, C06, MONTHLYPASS, 200000
TKT_L017, C07, DAYPASS, 30000
TKT_L018, C08, SINGLERIDE, 10000
TKT_L019, C09, SINGLERIDE, 15000
TKT_L020, C10, DAYPASS, 30000
TKT_L021, C01, MONTHLYPASS, 200000
TKT_L022, C02, SINGLERIDE, 10000
TKT_L023, C03, SINGLERIDE, 15000
TKT_L024, C04, DAYPASS, 30000
TKT_L025, C05, SINGLERIDE, 10000
TKT_L026, C06, SINGLERIDE, 15000
TKT_L027, C07, MONTHLYPASS, 200000
TKT_L028, C08, SINGLERIDE, 10000
TKT_L029, C09, DAYPASS, 30000
TKT_L030, C10, SINGLERIDE, 15000
TKT_L031, C01, SINGLERIDE, 10000
TKT_L032, C02, MONTHLYPASS, 200000
TKT_L033, C03, DAYPASS, 30000
TKT_L034, C04, SINGLERIDE, 10000
TKT_L035, C05, SINGLERIDE, 15000
TKT_L036, C06, SINGLERIDE, 10000
TKT_L037, C07, DAYPASS, 30000
TKT_L038, C08, MONTHLYPASS, 200000
TKT_L039, C09, SINGLERIDE, 10000
TKT_L040, C10, SINGLERIDE, 15000
TKT_L041, C01, DAYPASS, 30000
TKT_L042, C02, SINGLERIDE, 10000
TKT_L043, C03, MONTHLYPASS, 200000
TKT_L044, C04, SINGLERIDE, 15000
TKT_L045, C05, SINGLERIDE, 10000
TKT_L046, C06, DAYPASS, 30000
TKT_L047, C07, SINGLERIDE, 10000
TKT_L048, C08, SINGLERIDE, 15000
TKT_L049, C09, SINGLERIDE, 10000
TKT_L050, C10, MONTHLYPASS, 200000
TKT_L051, C01, SINGLERIDE, 15000
TKT_L052, C02, SINGLERIDE, 10000
TKT_L053, C03, DAYPASS, 30000
TKT_L054, C04, SINGLERIDE, 10000
TKT_L055, C05, MONTHLYPASS, 200000
TKT_L056, C06, SINGLERIDE, 15000
TKT_L057, C07, SINGLERIDE, 10000
TKT_L058, C08, DAYPASS, 30000
TKT_L059, C09, SINGLERIDE, 10000
TKT_L060, C10, SINGLERIDE, 15000
TKT_L061, C01, MONTHLYPASS, 200000
TKT_L062, C02, SINGLERIDE, 10000
TKT_L063, C03, DAYPASS, 30000
TKT_L064, C04, SINGLERIDE, 15000
TKT_L065, C05, SINGLERIDE, 10000
TKT_L066, C06, MONTHLYPASS, 200000
TKT_L067, C07, SINGLERIDE, 10000
TKT_L068, C08, DAYPASS, 30000
TKT_L069, C09, SINGLERIDE, 15000
TKT_L070, C10, SINGLERIDE, 10000
TKT_L071, C01, SINGLERIDE, 10000
TKT_L072, C02, SINGLERIDE, 15000
TKT_L073, C03, DAYPASS, 30000
TKT_L074, C04, MONTHLYPASS, 200000
TKT_L075, C05, SINGLERIDE, 10000
TKT_L076, C06, SINGLERIDE, 15000
TKT_L077, C07, DAYPASS, 30000
TKT_L078, C08, SINGLERIDE, 10000
TKT_L079, C09, MONTHLYPASS, 200000
TKT_L080, C10, SINGLERIDE, 15000
TKT_L081, C01, SINGLERIDE, 10000
TKT_L082, C02, DAYPASS, 30000
TKT_L083, C03, SINGLERIDE, 10000
TKT_L084, C04, SINGLERIDE, 15000
TKT_L085, C05, MONTHLYPASS, 200000
TKT_L086, C06, SINGLERIDE, 10000
TKT_L087, C07, DAYPASS, 30000
TKT_L088, C08, SINGLERIDE, 15000
TKT_L089, C09, SINGLERIDE, 10000
TKT_L090, C10, MONTHLYPASS, 200000
TKT_L091, C01, DAYPASS, 30000
TKT_L092, C02, SINGLERIDE, 15000
TKT_L093, C03, SINGLERIDE, 10000
TKT_L094, C04, SINGLERIDE, 10000
TKT_L095, C05, DAYPASS, 30000
TKT_L096, C06, MONTHLYPASS, 200000
TKT_L097, C07, SINGLERIDE, 15000
TKT_L098, C08, SINGLERIDE, 10000
TKT_L099, C09, DAYPASS, 30000
TKT_L100, C10, SINGLERIDE, 15000
